attendance_rate,weekly_study_minutes,unstudied_high_priority_topics,terminal_exam_score,alert_state
1.0,207,1,84.3,NOMINAL
0.862,560,0,95.8,NOMINAL
0.652,385,2,64.1,CRITICAL RISK
0.48,630,0,71.2,WARNING
0.84,555,6,67.8,WARNING
0.678,747,4,78.7,NOMINAL
0.738,551,8,51.2,CRITICAL RISK
0.708,137,6,54.6,CRITICAL RISK
0.779,407,5,72.9,WARNING
0.96,209,4,62.7,CRITICAL RISK
0.824,326,0,74.9,WARNING
0.776,692,0,84.7,NOMINAL
0.645,534,5,60.3,CRITICAL RISK
0.549,294,0,74.0,WARNING
0.727,237,0,76.5,NOMINAL
0.792,425,1,70.4,WARNING
1.0,201,7,64.1,CRITICAL RISK
0.82,299,4,64.5,CRITICAL RISK
0.947,476,6,74.6,WARNING
0.725,627,3,71.0,WARNING
0.622,529,1,71.7,WARNING
0.655,30,3,61.4,CRITICAL RISK
0.691,474,0,82.5,NOMINAL
1.0,432,6,71.8,WARNING
0.677,494,1,68.2,WARNING
0.926,710,3,85.0,NOMINAL
0.665,48,8,39.0,CRITICAL RISK
0.94,313,5,69.5,WARNING
0.858,526,4,66.8,WARNING
0.777,135,4,64.2,CRITICAL RISK
0.794,685,7,61.0,CRITICAL RISK
0.702,486,2,67.5,WARNING
0.867,572,5,74.5,WARNING
0.732,317,7,55.9,CRITICAL RISK
0.616,566,5,59.6,CRITICAL RISK
0.608,612,4,72.8,WARNING
0.826,461,1,78.3,NOMINAL
1.0,462,2,83.4,NOMINAL
0.824,468,8,59.2,CRITICAL RISK
0.782,264,4,62.3,CRITICAL RISK
0.843,393,2,78.4,NOMINAL
